,Name,Birth_Year,Death_Year,Age,Birthplace,Death_Location,Group
1,John Fuller,1515,1558,43,Unknown,Unknown,Men
2,Ann Collings,1523,1544,21,"Redenhall, Norfolk",Unknown,Women
3,William Dillingham,1527,1603,76,"Colesbach, England",Unknown,Men
4,Robert Fuller,1543,1614,71,Unknown,Unknown,Men
5,Edith (Collamore),1545,1605,60,"Northam, Devon, E",Northam England,Women
6,Matthew Wing,1549,1614,65,England,Banbury England,Men
7,Mary (Wing),1549,1613,64,Unknown,"Banbury, England",Women
8,Sarah Dunkhorn,1551,1584,33,"Redenhall, Norfolk","""",Women
9,Stephen Bachiler,1561,1656,95,Unknown,Allhallow London England,Men
10,Henry Dillingham,1568,1625,57,Cotesbach Eng,Cotesbach Eng,Men
11,Percival Lowell,1571,1665,94,Kingston Eng.,"Newbury, MA",Men
12,Edmund Greenleaf,1574,1671,97,"Ipswich, Eng","Boston, MA",Men
13,Lydia Holland,1574,1604,30,"Fordington, Eng",Unknown,Women
14,Rebecca (Lowell),1575,1645,70,"Kingston Seymour,","Newbury, MA",Women
15,Thomas Tupper,1578,1676,98,"Bury, Sussex, Eng.","Sandwich, MA",Men
16,Thomas Wyborn,1580,1656,76,"Wrotham, Kent, E",Boston MA,Men
17,Edward Lincoln,1580,1640,60,England,England,Men
18,William Ring,1581,1629,48,"Pettistree Suffolk, E",Leyden Netherland,Men
19,John Otis,1581,1657,76,Barnstable England,Weymouth MA,Men
20,Margaret (Otis),1581,1653,72,"Devon, England",Hingham MA,Women
21,Walter Nichols,1582,1639,57,Unknown,Unknown,Men
22,Richard Ibrook,1583,1651,68,Unknown,Hingham MA,Men
23,John Lathrop,1584,1653,69,"Etton, England",Barnstable MA,Men
24,John Hall,1584,1673,89,Kent Eng,Connecticut,Men
25,Mary (Ring),1584,1631,47,"Ufford, Suffolk, Eng",Plymouth MA,Women
26,William Palmer,1585,1637,52,Unknown,Duxbury MA,Men
27,John Whitcomb,1588,1662,74,England,Lancaster MA,Men
28,Sarah Moore,1588,1663,75,"Maldon, Essex,Eng","Boston, MA",Women
29,Frances (Palmer),1589,1637,48,Unknown,Unknown,Women
30,Judith Gator,1589,1654,65,Unknown,Unknown,Women
31,John Perkins,1590,1654,64,England,"Ipswich, Esses MA",Men
32,Ursula Carter,1590,1656,66,Unknown,"Sandwich, MA",Women
33,Esther Willicke,1590,1632,42,England,Kent Eng.,Women
34,Margery (Dodge),1590,1632,42,Unknown,Unknown,Women
35,Thomas Joslin,1591,1660,69,Bollinghatch Eng,Lancaster MA,Men
36,Stephen Vinal,1592,1636,44,England,"Scituate, MA",Men
37,Deborah Bachilor,1592,1680,88,Wherewell Eng,"Yarmouth, MA",Women
38,Thomas Townsend,1594,1677,83,Lynn MA,Unknown,Men
39,Edward Dillingham,1595,1667,72,Cotesbach Eng,"Sandwich, MA",Men
40,William Dennis,1595,1649,54,England,Plymouth,Men
41,Henry Rowley,1596,1673,77,"Duxbury, England",MA,Men
42,John Whitman,1598,1692,94,"Holt, Norfolk Eng",Weymouth MA,Men
43,Jane Scarlett,1598,1650,52,England,Plymouth MA,Women
44,Anthony Annable,1599,1674,75,Kent England,Barnstable MA,Men
45,Anna Vinal,1600,1664,64,"Kent, England","Scituate, MA",Women
46,Jane Mumford,1600,1643,43,1st of 3 wives,Unknown,Women
47,thomas Burgess,1601,1685,84,England,"Sandwich, MA",Men
48,Isaac buck,1601,1696,95,Unknown,Unknown,Men
49,John Stoddard,1601,1661,60,England,"Hingham, MA",Men
50,Richard Dodge,1602,1671,69,Unknown,Unknown,Men
51,Daniel King,1602,1672,70,England,"Lynn, MA",Men
52,William Allen,1602,1679,77,England,Manchester MA,Men
53,Thomas Jones,1602,1680,78,England,Hull Plymouth,Men
54,Thomas Hatch,1603,1661,58,England,MA,Men
55,Matthew Fuller,1603,1678,75,"Redenhall, Norfolk",Barnstable,Men
56,Edith (Dodge),1603,1678,75,Unknown,Unknown,Women
57,Moses Simmons,1604,1691,87,"Leydon, Netherlan",Duxbury MA,Men
58,William Dodge,1604,1692,88,England,Unknown,Men
59,James Cudworth,1604,1682,78,"Aller, England",smallpox,Men
60,Thomas Hyland,1604,1683,79,Waldron Sussex E,Scituate MM,Men
61,Thomas King,1605,1696,91,"Tarrant, Dorset E",Marlborough MA,Men
62,William Sumner,1605,1688,83,Bicestor Oxfordshire,Dorchester MA,Men
63,Frances (Fuller),1605,1678,73,"Norfolk, Eng","Barnstable, MA",Women
64,Frances Coggan,1605,1671,66,Taunton England,"Lancaster, MA",Women
65,Tabitha Rogers,1605,1661,56,Unknown,Unknown,Women
66,Ruth Reed,1605,1662,57,England,"Weymouth, MA",Women
67,Mary Williams,1606,1681,75,England,"Hull, MA",Women
68,Mary Swift,1606,1676,70,Bicestor England,Dorchester MA,Women
69,Rchard Banks,1607,1692,85,"Alkham Kent, Eng","York, Maine",Men
70,Deborah (Hyland),1607,1707,100,"Tenterdon, Kent, E","Scituate, MA",Women
71,John Benson,1608,1678,70,England,"Hull, MA",Men
72,John Farrow,1608,1687,79,Unknown,Hingham MA,Men
73,John Tower,1609,1701,92,England,England,Men
74,Tristram Coffin,1609,1681,72,England,Unknown,Men
75,Joanna Lowell,1609,1677,68,Bristol England,Newbury Essex MA,Women
76,(daughter) Palmer,1610,1633,23,"Parham, Somerset",Sandwich MA,Women
77,Nicholas Baker,1611,1678,67,"Hingham, Eng.","Scituate, MA",Men
78,Frances (Farrow),1612,1688,76,"Hingham, Eng.",Unknown,Women
79,Lawrence Litchfield,1614,1649,35,"Kent, Eng",Scituate,Men
80,William Hilliard,1614,1655,41,"Sussex, Eng",Hingham MA,Men
81,Thomas Nichols,1614,1696,82,England,Plymouth MA,Men
82,John Pearson,1615,1679,64,"Yorkshire, Eng.",Unknown,Men
83,Thomas Wetmore,1615,1681,66,England,Unknown,Men
84,John Brown,1615,1677,62,Unknown,"Ipswich, MA",Men
85,Henry Ewall,1615,1689,74,"Sandwich, Eng.","Scituate, MA",Men
86,Alice (Allen),1615,1632,17,Unknown,Salem MA,Women
